Coupon,Details,Dates, Instructions
SAVETHIRTY,30% off any sensor for interactive customers Cannot be combined with other offers.,20-Nov,Customer will claim the promotion from an email. Only help the customer apply this promo if they mention seeing it.
SAVEFIFTEEN,15% off any sensor for standard customers Cannot be combined with other offers. ,20-Nov,Customer will claim the promotion from an email. Only help the customer apply this promo if they mention seeing it.
SIMPLI30CAM,30% Off any new system + Free SimpliCam This is directed at ALL customers. Cannot be combined with other offers. ,11-Nov,Customer will claim the promotion from the website. Only help the customer apply this promo if they mention seeing it.
SIMPLI35MON,35% Off any new system + Free SimpliCam when subscribing to Interactive Monitoring This is directed at ALL customers. Cannot be combined with other offers. ,11-Nov,Customer will claim the promotion from the website. Only help the customer apply this promo if they mention seeing it online/email.
SIMPLI35CAM,35% Off any new system + Free SimpliCam This is directed at ALL customers. Cannot be combined with other offers. ,13-Oct,Customer will claim the promotion from the website. Only help the customer apply this promo if they mention seeing it.
SIMPLI40MON,40% Off any new system + Free SimpliCam Cannot be combined with other offers. ,13-Oct,Customer will claim the promotion from an Email only. Only help the customer apply this promo if they mention seeing it.
OBCSS250,"50% Off SS2 to SS3 Upgrade Can only be purchased online. If they need help purchasing, use the coupon code with SS3 System. Extra sensors added to the order WILL receive a discount. ",3-Dec,
N/A,$75 for Refubished SimpliCam This is directed at ALL customers. Cannot be combined with other offers. ,13-Apr,
(Unique Code),"SS3 Upgrade (Anniversary) 40% off, 65% off, Free (100% off), 65% + free door lock",,
ALLNEW100CS,requires lead/sup to change the order status to System Ordered or order will not get fulfilled.,,
(No code required),1 Free year of camera recording services for Costco members purchasing the Video Doorbell Pro ,,"*This deal can only be accessed through Costco by a Costco member. Deal is applied during app activation. Normally this would apply automatically, however if they did not get the free year of the camera service, please let your supervisor know."
SIMPLI40REFURB,40% Off any SS3 Refurb System + Free SimpliCam , 11/8,"Can only be purchased online. If they need help purchasing, use the coupon code with SS3 Refurb System. Extra sensors added to the order will not receive a discount."
HOSTS10,10% off All New SimpliSafe Our radio hosts are promoting 10% off our All New (SS3) systems.,," *If a customer tells you they heard it on the radio/from a radio host, put it under ""Sales Tracking: Sales Lead: I found SimpliSafe through Radio Detail:Insert Radio Host here"" (For example: Usa, Beck, Hannity, Ramsey) of the order and use  coupon code. Cannot be combined with other offers 4/18 - Coupon Code: HOSTS10"
